videoId,title,published_at,duration_sec,views,likes,comments
VoyMOVfCSfc,CROSS-VALIDATION SKLEARN PYTHON (Techniques expliquées en Français),2019-11-20 15:00:12+00:00,1271.0,111962,2915,245
w_bLGK4Pteo,"PYTHON SKLEARN -  MODEL SELECTION : Train_test_split, Cross Validation, GridSearchCV (21/30)",2019-11-15 15:00:13+00:00,1309.0,208725,3624,505
P6kSc3qVph0,"PYTHON SKLEARN: KNN, LinearRegression et SUPERVISED LEARNING (20/30)",2019-11-02 10:00:12+00:00,1207.0,339919,5410,656
FVdOVR9ahXg,ÉQUATIONS NORMALES : D'où viennent-elles ? (Vidéo Archive juin 2019),2019-10-25 14:00:11+00:00,460.0,67240,1765,196
oHspnKWX8KU,Python 3.8 Changements importants,2019-10-22 10:24:55+00:00,418.0,9266,280,48
xYgfIRzNPlo,SEABORN PYTHON TUTORIEL PAIRPLOT etc : Les PLUS BEAUX GRAPHIQUES en 1 Ligne de Code ! (19/30),2019-10-15 14:00:12+00:00,1067.0,125499,2471,229
qHRLG5hsW9I,PANDAS PYTHON Tutoriel Français - Time Series (18/30),2019-10-10 15:30:13+00:00,1530.0,172191,2911,369
zZkNOdBWgFQ,PANDAS PYTHON Français - Introduction + Analyse du Titanic (17/30),2019-10-06 17:34:30+00:00,1050.0,285362,5753,430
P0Xr5TIML8U,"SCIPY PYTHON Tutoriel - Optimize, Fourier, NdImage (16/30)",2019-09-27 14:00:13+00:00,1812.0,135324,2693,407
MILtbfrMGL4,MATPLOTLIB - Graphiques Importants (15/30),2019-09-22 14:00:12+00:00,1479.0,152313,3310,339
O_OeWxpnUc0,MATPLOTLIB - Les Bases ! (14/30),2019-09-20 14:00:12+00:00,1133.0,199365,4339,346
lIESSFHGalA,PYTHON NUMPY BROADCASTING (13/30),2019-09-18 14:00:12+00:00,993.0,99985,2639,208
RwFiNlL4Q8g,PYTHON NUMPY STATISTIQUES et MATHÉMATIQUES (12/30),2019-09-17 14:00:09+00:00,1819.0,166064,3104,264
vw4u9uBFFqU,PYTHON NUMPY Indexing Slicing Masking (11/30),2019-09-13 15:06:49+00:00,1153.0,157491,3527,308
NzDQTrqsxas,PYTHON NUMPY machine learning (10/30),2019-09-12 14:09:18+00:00,1473.0,253569,5370,347
2LdLiCtVUEA,PYTHON PROGRAMMATION ORIENTÉE OBJET et impact en machine learning (9/30),2019-09-11 14:00:10+00:00,605.0,130318,4039,306
mSh4h-J0z1c,PYTHON MODULES ET PACKAGES (8/30),2019-09-10 14:00:12+00:00,1208.0,163413,3662,268
v7OTVy6whEY,PYTHON BUILT-IN FUNCTIONS (7/30),2019-09-09 14:00:12+00:00,1240.0,157979,3616,271
Whoe3p-sGEY,PYTHON LIST DICT COMPREHENSION (6/30),2019-09-08 14:00:14+00:00,725.0,165194,3606,257
QR-gUWAeLqs,PYTHON DICTIONNAIRES (5/30),2019-09-07 14:00:13+00:00,742.0,224146,4453,219
